threshold_c,year,total_area_km2,largest_component_area_km2,secondary_area_km2,largest_component_area_fraction,fragmentation_index,component_count,centroid_distance_km,n_days,date
28,1982,34124424.45,31288036.72,2836387.732,0.9137531263,0.08624687373,54.84383562,469.2445636,365,1982-07-01
28,1983,35215929.14,32102887.49,3113041.653,0.9069831896,0.09301681037,52.86849315,598.7931258,365,1983-07-01
28,1984,30492432.6,27009750.36,3482682.247,0.8872911044,0.1127088956,59.54918033,635.4788778,366,1984-07-01
28,1985,27547861.68,24481396.93,3066464.75,0.8852675438,0.1147324562,60.12876712,587.5900682,365,1985-07-01
28,1986,29943390.95,26697280.42,3246110.523,0.8908115424,0.1091884576,63.43287671,577.2102653,365,1986-07-01
28,1987,35957067.23,32603416.53,3353650.701,0.9024676614,0.09753233856,54.0739726,564.9890794,365,1987-07-01
28,1988,31771574.09,29012496.69,2759077.393,0.9156267239,0.08437327611,50.7295082,532.9081289,366,1988-07-01
28,1989,27843810.28,24874269.28,2969541.001,0.892069352,0.107930648,56.88767123,622.2337271,365,1989-07-01
28,1990,32665388.75,29060820.79,3604567.959,0.8911863122,0.1088136878,56.70136986,679.9999483,365,1990-07-01
28,1991,34779086.86,31777961.43,3001125.427,0.912009993,0.08799000702,51.00547945,452.7083909,365,1991-07-01
28,1992,34918751.42,32301826.82,2616924.598,0.9194125693,0.08058743065,46.85245902,430.5257242,366,1992-07-01
28,1993,33265252.67,30268524.32,2996728.355,0.9051749213,0.09482507873,50.93424658,543.1262916,365,1993-07-01
28,1994,34578978.57,31355507.49,3223471.076,0.90661344,0.09338655996,51.50684932,542.9515253,365,1994-07-01
28,1995,35159533.11,31965193.52,3194339.583,0.9075285871,0.09247141292,49.16986301,536.4454668,365,1995-07-01
28,1996,32145283.5,29327151.02,2818132.481,0.9132885794,0.08671142056,52.89617486,490.0984208,366,1996-07-01
28,1997,37868026.58,35222951.09,2645075.487,0.9262001717,0.07379982832,50.83835616,399.0459105,365,1997-07-01
28,1998,38160449.2,35716773.29,2443675.912,0.9336823474,0.06631765258,44.67671233,440.8830366,365,1998-07-01
28,1999,30040842.78,27430630.9,2610211.873,0.9141383194,0.08586168058,46.26575342,527.6711387,365,1999-07-01
28,2000,31076579.69,28142482.65,2934097.038,0.9073345743,0.09266542565,50.59289617,565.778019,366,2000-07-01
28,2001,35114766.5,31723539.37,3391227.129,0.9055016391,0.09449836088,48.64383562,634.9922796,365,2001-07-01
28,2002,37665484.69,34355574.97,3309909.717,0.9133347357,0.08666526435,50.16986301,570.7288623,365,2002-07-01
28,2003,37804083,34426561.02,3377521.979,0.9109783186,0.08902168145,45.30136986,624.1350325,365,2003-07-01
28,2004,38303221.29,35402809.68,2900411.605,0.9246391825,0.07536081749,49.17213115,501.2307229,366,2004-07-01
28,2005,38618107.66,35761755.23,2856352.434,0.9277884839,0.0722115161,44.44109589,502.8043713,365,2005-07-01
28,2006,36831614.17,33400715.7,3430898.477,0.9089579543,0.0910420457,49.80547945,613.521318,365,2006-07-01
28,2007,38012201.13,34706920.58,3305280.552,0.915751859,0.08424814101,33.39178082,621.0697558,365,2007-07-01
28,2008,34612917.04,31058408.52,3554508.519,0.8994072691,0.1005927309,32.39344262,741.5517882,366,2008-07-01
28,2009,42123564.46,40258657.2,1864907.258,0.9540515813,0.04594841869,29.80273973,328.4980097,365,2009-07-01
28,2010,38543751.66,35383815.27,3159936.392,0.9211317748,0.07886822516,32.1890411,589.4040566,365,2010-07-01
28,2011,33163058.66,30436879.9,2726178.76,0.9212968578,0.07870314221,32.67945205,551.7527464,365,2011-07-01
28,2012,38406794.76,35030902.15,3375892.611,0.9138886263,0.08611137368,31.12295082,659.177999,366,2012-07-01
28,2013,39083261.04,35673897.84,3409363.2,0.915229052,0.08477094801,31.75616438,641.7368407,365,2013-07-01
28,2014,42851630.78,40781569.05,2070061.729,0.9498122599,0.05018774013,27.3890411,371.7010384,365,2014-07-01
28,2015,47261116.35,46456757.18,804359.1662,0.9801727871,0.01982721293,27.94794521,120.3279986,365,2015-07-01
28,2016,47582177.93,46520398.44,1061779.488,0.9760595787,0.02394042129,23.71857923,167.9384948,366,2016-07-01
28,2017,44545779.78,42117645.34,2428134.436,0.9439076741,0.05609232593,29.28493151,414.9017061,365,2017-07-01
28,2018,42228572.81,40262692.04,1965880.774,0.9525681798,0.04743182021,28.79452055,334.6718274,365,2018-07-01
28,2019,45483412.1,43948954.28,1534457.818,0.9627101056,0.03728989444,27.77260274,261.7003524,365,2019-07-01
28,2020,43961552.49,41682656.92,2278895.564,0.9466761568,0.05332384315,23.9863388,395.6647151,366,2020-07-01
28,2021,39998999.71,37108135.05,2890864.669,0.9292468261,0.07075317395,24.06849315,523.9607133,365,2021-07-01
28,2022,37990811.6,35077823.31,2912988.292,0.9244167558,0.07558324419,15.02465753,569.274038,365,2022-07-01
28,2023,47042898.49,45651333.78,1391564.716,0.9676641292,0.0323358708,14.33424658,256.4866953,365,2023-07-01
28,2024,48130087.83,47378838.59,751249.2494,0.983634064,0.01636593601,13.27595628,117.4315612,366,2024-07-01
28,2025,43505541.21,40792836.67,2712704.54,0.937803112,0.06219688799,16.35890411,487.825869,365,2025-07-01
28.5,1982,24062439.51,19270950.2,4791489.303,0.7874592857,0.2125407143,69.32054795,692.547763,365,1982-07-01
28.5,1983,24674127.75,18498003.09,6176124.656,0.7462219217,0.2537780783,70.14520548,1474.683543,365,1983-07-01
28.5,1984,21005195.67,17247956.17,3757239.502,0.8181091098,0.1818908902,70.38797814,654.0463644,366,1984-07-01
28.5,1985,17951893.96,14226986.05,3724907.912,0.7745373358,0.2254626642,71.97260274,702.0399048,365,1985-07-01
28.5,1986,19853485.7,16173565.6,3679920.1,0.8062963981,0.1937036019,74.00821918,626.4695414,365,1986-07-01
28.5,1987,25425308.75,20784618.67,4640690.077,0.8104011553,0.1895988447,67.60821918,838.9135107,365,1987-07-01
28.5,1988,22926072.32,20330102.95,2595969.368,0.8853535498,0.1146464502,56.37978142,490.3856062,366,1988-07-01
28.5,1989,18347946.52,15208389.28,3139557.238,0.8157023702,0.1842976298,66.96712329,585.12964,365,1989-07-01
28.5,1990,22554404.67,18608861.83,3945542.839,0.8193948541,0.1806051459,67.54520548,627.9566407,365,1990-07-01
28.5,1991,24782916.3,20860755.61,3922160.69,0.8376821362,0.1623178638,63.37534247,624.5141175,365,1991-07-01
28.5,1992,24727365.01,20535787.82,4191577.185,0.8233841625,0.1766158375,61.49453552,752.5123089,366,1992-07-01
28.5,1993,22823096.61,18725455.4,4097641.207,0.8098454288,0.1901545712,63.18356164,757.0656157,365,1993-07-01
28.5,1994,25028978.64,21394763.49,3634215.148,0.8501964784,0.1498035216,60.23013699,592.012183,365,1994-07-01
28.5,1995,25916939.97,22842894.4,3074045.572,0.8748876194,0.1251123806,61.41917808,513.4426903,365,1995-07-01
28.5,1996,23226559.36,20869102.32,2357457.039,0.8943986771,0.1056013229,61.05464481,429.4980866,366,1996-07-01
28.5,1997,26787750.94,21655152.99,5132597.959,0.8027876711,0.1972123289,70.04109589,762.3885088,365,1997-07-01
28.5,1998,27924052.83,23938484.37,3985568.459,0.8606999405,0.1393000595,60.82465753,931.5957314,365,1998-07-01
28.5,1999,21348307.36,18988779.77,2359527.59,0.8868607976,0.1131392024,53.6109589,500.363271,365,1999-07-01
28.5,2000,21976262.64,19405431.96,2570830.683,0.8798609957,0.1201390043,58.83606557,507.0014814,366,2000-07-01
28.5,2001,26168042.22,23451194.66,2716847.559,0.8967686571,0.1032313429,55.89589041,496.9737773,365,2001-07-01
28.5,2002,28139787.26,24933996.34,3205790.913,0.8854965218,0.1145034782,57.77260274,527.7671942,365,2002-07-01
