threshold_c,month,largest_component_area_km2_mean,largest_component_area_km2_std,total_area_km2_mean,total_area_km2_std,secondary_area_km2_mean,secondary_area_km2_std,largest_component_area_fraction_mean,largest_component_area_fraction_std,component_count_mean,component_count_std
28,1,28583177.38,6028374.084,30224145.21,5548383.316,1640967.822,1188091.564,0.941508429,0.05141138682,38.16989247,16.02322417
28,2,28158575.64,6068756.234,30416853.95,5807791.86,2258278.309,1409538.056,0.9222827078,0.05263081861,41.80645161,16.76597574
28,3,31467871.91,7141860.859,35274055.01,6842587.242,3806183.099,2310754.791,0.8892875093,0.06544557988,42.96415771,18.05221599
28,4,36849570.8,7736952.616,40945473.51,6504661.601,4095902.712,2603453.328,0.8947691425,0.06489472595,35.37481481,16.62828566
28,5,38374019.48,7400751.45,41842913.02,5881541.408,3468893.533,2645246.171,0.911815181,0.0661151571,33.90322581,16.21116783
28,6,37564714.76,8100074.264,40449590.96,6604976.067,2884876.194,2356440.955,0.921883581,0.06463313895,38.93703704,16.42837517
28,7,37159714.93,8092814.639,39831680.09,6764619.976,2671965.155,2092510.723,0.9264635352,0.05866718553,43.12419239,18.11984201
28,8,37138696.75,7995978.717,39967477.4,6840341.517,2828780.644,1879952.41,0.9230847817,0.05281197961,47.22067449,18.00730627
28,9,38125470.2,7117821.596,40763734.79,6246803.927,2638264.591,1606766.956,0.9311902789,0.04369094577,47.17333333,18.00970499
28,10,37216533.39,6349058.866,39702622.64,5909244.185,2486089.244,1225577.32,0.9349355737,0.03355879335,43.56200717,16.08218193
28,11,35053399.97,6166952.793,37167431.22,5882222.959,2114031.244,971955.845,0.9410597423,0.02725996685,36.37925926,14.75080426
28,12,31374116.2,6025241.82,33151114.13,5660511.809,1776997.926,1017673.147,0.943484176,0.03677587096,35.93620072,16.16453515
28.5,1,20226734.33,6016963.624,22359318.48,5353210.82,2132584.152,1875313.632,0.8921535345,0.1125788494,44.96630824,17.82980708
28.5,2,19461900.08,5885154.826,22016255.57,5376014.213,2554355.488,1903927.975,0.8724725012,0.1059150208,47.71439811,18.81483178
28.5,3,21581550.61,7072922.84,25326177.28,6315437.064,3744626.674,2546584.888,0.8384528444,0.1256919991,51.77562724,21.74682766
28.5,4,25957558.24,7117576.017,30665037.35,6573762.406,4707479.103,2618102.46,0.8394035379,0.09749083757,45.54592593,20.28084236
28.5,5,28017928.67,6730739.564,31984257.04,6109635.889,3966328.37,2170340.028,0.8703510673,0.07048097457,43.50394265,18.0594572
28.5,6,27337524.87,7509141.176,30514892.69,6782611.393,3177367.821,1994641.344,0.887808362,0.07473963201,47.87481481,18.49921048
28.5,7,26392156.84,8101106.178,29573832.13,7283484.7,3181675.287,2081215.883,0.8815480371,0.09090414315,54.43000718,20.76360906
28.5,8,25935184.54,8078075.665,29587666.34,7247444.458,3652481.807,2140290.832,0.8638644714,0.09889962151,59.0542522,21.18904854
28.5,9,27302227.12,7788559.711,30534221.85,6860908.037,3231994.733,2063654.636,0.8829865483,0.09632827648,58.18740741,23.08799016
28.5,10,27360547.64,6639836.959,29996341.37,6163162.247,2635793.727,1353060.609,0.9058918384,0.05951440782,53.05734767,19.84288018
28.5,11,26512092.04,6391291.817,28527865.66,5919728.273,2015773.621,1142370.45,0.9233293218,0.05514416073,43.9562963,18.13703748
28.5,12,23031721.1,6164625.24,25047946.91,5485921.232,2016225.807,1600946.245,0.9099238954,0.08738774123,44.08530466,18.65515897
29,1,12034605.73,5798236.812,14762465.36,4878982.057,2727859.626,2096674.95,0.7782421091,0.1883539413,53.45949821,19.80160678
29,2,11311213.97,5486107.347,14097220.45,4758157.785,2786006.48,1942252.646,0.7682001733,0.1750623786,56.23524784,20.32934849
29,3,12399710.01,6595967.702,16149221.37,5666199.106,3749511.359,2419359.801,0.7244090483,0.202255223,61.51039427,24.37100553
29,4,15382696.59,7307399.291,20364251.57,6451860.958,4981554.98,2685345.38,0.7227693039,0.1811422589,58.17407407,25.14736541
29,5,17122894.19,7077904.452,21844777.68,6067030.122,4721883.494,2682420.055,0.7589402603,0.1673830473,53.90394265,22.96699535
29,6,17077465.77,7740292.309,20556471.19,6624194.561,3479005.421,2225464.1,0.7945406377,0.174357078,58.02518519,22.77486982
29,7,15381974.71,8256754.074,19148724.94,7085859.821,3766750.226,2470484.726,0.7560911043,0.2014233408,65.73725772,23.91219325
29,8,14904749.68,7973296.048,19061159.34,6949291.408,4156409.667,2320913.707,0.7324930062,0.1998966638,70.02785924,24.68562337
29,9,16496772.16,7705186.103,20003834.41,6790107.567,3507062.252,2119070.734,0.7889971294,0.1656105354,69.57703704,25.6766904
29,10,16434146.01,7165305.061,19766769.52,6097786.736,3332623.512,2156573.122,0.7998295213,0.1629437016,66.41003584,25.74643851
29,11,16959141.05,6949770.582,19606363.99,5714890.726,2647222.941,2090540.163,0.8344683175,0.1647137141,54.82,23.88385009
29,12,14418247.89,6280039.241,17020743.07,5070803.405,2602495.187,2084330.859,0.8112402349,0.178031782,53.77634409,22.43079936
