date,threshold_c,observed_km2,trend_km2,seasonal_km2,remainder_km2,year
1981-09-01,28,29835886.3,29010889.15,2378880.236,-1553883.087,1981
1981-09-02,28,26064029.25,29016271.54,1247247.822,-4199490.113,1981
1981-09-03,28,25604790.62,29021645.04,1293971.088,-4710825.511,1981
1981-09-04,28,25539163.05,29027009.63,792931.294,-4280777.874,1981
1981-09-05,28,27255430.08,29032365.28,1534376.937,-3311312.133,1981
1981-09-06,28,25102483.67,29037711.96,2249774.482,-6185002.767,1981
1981-09-07,28,27231195.81,29043049.64,1594844.065,-3406697.898,1981
1981-09-08,28,27933307.92,29048378.31,1628534.03,-2743604.425,1981
1981-09-09,28,29132702.01,29053697.94,1489756.77,-1410752.705,1981
1981-09-10,28,30521017.29,29059008.51,1510589.909,-48581.12838,1981
1981-09-11,28,32489275.48,29064309.99,2254706.643,1170258.851,1981
1981-09-12,28,33166079.56,29069602.35,2766009.308,1330467.903,1981
1981-09-13,28,32620591.65,29074885.57,2670813.007,874893.0686,1981
1981-09-14,28,32245513.63,29080159.64,2568315.883,597038.108,1981
1981-09-15,28,31795211.22,29085424.52,2124076.133,585710.5709,1981
1981-09-16,28,32017248.63,29090680.18,2210902.483,715665.9642,1981
1981-09-17,28,31324705,29095926.61,2250323.895,-21545.50783,1981
1981-09-18,28,29220891.06,29101163.78,2784717.951,-2664990.672,1981
1981-09-19,28,30003142.37,29106391.66,2714591.845,-1817841.136,1981
1981-09-20,28,28862323.05,29111610.23,4041395.158,-4290682.338,1981
1981-09-21,28,29099889.6,29116819.46,3258573.128,-3275502.99,1981
1981-09-22,28,27482269.77,29122019.33,3846023.416,-5485772.978,1981
1981-09-23,28,30285334.41,29127209.82,3726475.357,-2568350.764,1981
1981-09-24,28,31733155.24,29132390.89,3699090.017,-1098325.67,1981
1981-09-25,28,31044783.53,29137562.54,3514594.459,-1607373.467,1981
1981-09-26,28,30879608.57,29142724.73,3852276.124,-2115392.281,1981
1981-09-27,28,31140939.18,29147877.44,3524068.04,-1531006.297,1981
1981-09-28,28,30590566.17,29153020.65,2736873.782,-1299328.259,1981
1981-09-29,28,28737142.03,29158154.33,2939763.06,-3360775.363,1981
1981-09-30,28,28720901.04,29163278.47,3285429.019,-3727806.453,1981
1981-10-01,28,29533522.28,29168393.05,3173915.503,-2808786.271,1981
1981-10-02,28,29955918.73,29173498.03,3359197.713,-2576777.015,1981
1981-10-03,28,29488488.45,29178593.41,3462859.914,-3152964.87,1981
1981-10-04,28,28960967.93,29183679.15,3239946.17,-3462657.388,1981
1981-10-05,28,27848966.51,29188755.24,3077243.195,-4417031.924,1981
1981-10-06,28,27570437.35,29193821.66,3035651.609,-4659035.918,1981
1981-10-07,28,28525834.42,29198878.39,3452792.992,-4125836.958,1981
1981-10-08,28,30201982.81,29203925.4,3199687.023,-2201629.617,1981
1981-10-09,28,30625985.54,29208962.69,3430473.47,-2013450.621,1981
1981-10-10,28,30891597.72,29213990.23,3665705.92,-1988098.43,1981
1981-10-11,28,30676198.52,29219008,3654141.494,-2196950.979,1981
1981-10-12,28,29553573.93,29224015.99,3055580.325,-2726022.39,1981
1981-10-13,28,30014650.87,29229014.18,3311101.391,-2525464.704,1981
1981-10-14,28,31725770.88,29234002.55,2949520.958,-457752.6314,1981
1981-10-15,28,32232075.62,29238981.09,3203986.64,-210892.107,1981
1981-10-16,28,32193417.82,29243949.77,3379020.635,-429552.583,1981
1981-10-17,28,32976947.82,29248908.58,3637491.322,90547.91813,1981
1981-10-18,28,33662060.35,29253857.5,3800396.115,607806.7307,1981
1981-10-19,28,33332993.06,29258796.52,3249241.139,824955.3959,1981
1981-10-20,28,34126190.95,29263725.62,2881003.819,1981461.506,1981
1981-10-21,28,35609941.43,29268644.79,2384649.114,3956647.531,1981
1981-10-22,28,35716276.02,29273553.99,2365507.829,4077214.201,1981
1981-10-23,28,34495264.18,29278453.22,2128793.464,3088017.495,1981
1981-10-24,28,33972542.96,29283342.46,2105576.779,2583623.721,1981
1981-10-25,28,33058513.53,29288221.69,2190574.944,1579716.901,1981
1981-10-26,28,32819635.97,29293090.88,2557918.638,968626.4528,1981
1981-10-27,28,32467129,29297950.02,2595177.985,574000.9927,1981
1981-10-28,28,30169549.71,29302799.09,2334887.109,-1468136.492,1981
1981-10-29,28,28673521.61,29307638.07,2180114.273,-2814230.735,1981
1981-10-30,28,29605047.93,29312466.94,2542323.036,-2249742.046,1981
1981-10-31,28,28161547.6,29317285.68,2319997.652,-3475735.728,1981
1981-11-01,28,27635127.47,29322094.26,2637389.182,-4324355.974,1981
1981-11-02,28,27835849.71,29326892.68,2327181.488,-3818224.457,1981
1981-11-03,28,27356282.76,29331680.91,2546700.622,-4522098.769,1981
1981-11-04,28,27209845,29336458.93,2764635.614,-4891249.543,1981
1981-11-05,28,27187751.4,29341226.73,2952232.309,-5105707.636,1981
1981-11-06,28,27043034.91,29345984.28,2196810.28,-4499759.655,1981
1981-11-07,28,26280794.37,29350731.59,2139692.492,-5209629.707,1981
1981-11-08,28,26450356.53,29355468.61,1390022.415,-4295134.498,1981
1981-11-09,28,25216186.86,29360195.35,792019.7127,-4936028.204,1981
1981-11-10,28,26485204.61,29364911.79,1044230.737,-3923937.913,1981
1981-11-11,28,26931125.76,29369617.9,958494.4444,-3396986.586,1981
1981-11-12,28,26513624.3,29374313.69,1171651.47,-4032340.856,1981
1981-11-13,28,26109185.36,29378999.12,1077471.019,-4347284.782,1981
1981-11-14,28,26307543.21,29383674.2,848352.401,-3924483.392,1981
1981-11-15,28,27089727.1,29388338.91,834635.5364,-3133247.344,1981
1981-11-16,28,29277086.99,29392993.23,832819.1252,-948725.3643,1981
1981-11-17,28,28803762.6,29397637.15,670993.1439,-1264867.699,1981
1981-11-18,28,28030453.93,29402270.67,355474.4818,-1727291.224,1981
1981-11-19,28,28271367.44,29406893.77,556118.0063,-1691644.336,1981
1981-11-20,28,27707029.85,29411506.44,852562.7393,-2557039.326,1981
1981-11-21,28,27872962.72,29416108.66,1089943.054,-2633088.996,1981
1981-11-22,28,28162827.55,29420700.43,998523.4115,-2256396.296,1981
1981-11-23,28,28766214.08,29425281.74,823494.3886,-1482562.052,1981
1981-11-24,28,29504200.63,29429852.58,1340131.51,-1265783.459,1981
1981-11-25,28,31580477.52,29434412.93,1271530.8,874533.7874,1981
1981-11-26,28,32166466.82,29438962.79,1159430.345,1568073.683,1981
1981-11-27,28,32168100.23,29443502.15,839037.6443,1885560.437,1981
1981-11-28,28,31508372.14,29448030.99,795953.7461,1264387.401,1981
1981-11-29,28,30904830.74,29452549.31,759675.6008,692605.8254,1981
1981-11-30,28,30979389.95,29457057.1,771541.0554,750791.7936,1981
1981-12-01,28,31455168.89,29461554.34,1149096.633,844517.9125,1981
1981-12-02,28,31958595.17,29466041.03,1121095.59,1371458.548,1981
1981-12-03,28,31165334.45,29470517.15,664028.974,1030788.322,1981
1981-12-04,28,30314663.58,29474982.7,365722.7159,473958.1635,1981
1981-12-05,28,29728206.03,29479437.66,-14786.26483,263554.6363,1981
1981-12-06,28,28420494.11,29483882.02,-518861.3939,-544526.5135,1981
1981-12-07,28,26824799.64,29488315.77,-1016893.213,-1646622.913,1981
1981-12-08,28,26082445.29,29492738.89,-1518053.945,-1892239.659,1981
1981-12-09,28,26687441.96,29497151.39,-1867989.972,-941719.4574,1981
1981-12-10,28,26699614.14,29501553.24,-1150502.876,-1651436.226,1981
1981-12-11,28,25602073.07,29505944.44,-1386521.333,-2517350.038,1981
1981-12-12,28,25042507.57,29510324.98,-1648066.869,-2819750.537,1981
1981-12-13,28,25333570.4,29514694.84,-1747073.535,-2434050.904,1981
1981-12-14,28,24859589.08,29519054.02,-1941314.183,-2718150.755,1981
1981-12-15,28,25056346.01,29523402.51,-2051877.722,-2415178.773,1981
1981-12-16,28,24333225.38,29527740.29,-2212490.242,-2982024.67,1981
1981-12-17,28,23744035.44,29532067.37,-2876459.979,-2911571.95,1981
1981-12-18,28,21433294.34,29536383.73,-2904077.454,-5199011.935,1981
