threshold_c,metric,n_years,mean,theil_sen_slope_per_decade,ci95_low_per_decade,ci95_high_per_decade,intercept,effective_sample_size_residual,effective_degrees_of_freedom,hac_maxlags,hac_slope_per_decade,hac_se_per_decade,hac_ci95_low_per_decade,hac_ci95_high_per_decade,hac_t_effective_df,hac_p_effective_df,relative_slope_pct_per_decade
28,total_area_km2,44,37418637.97,3481570.335,2636865.129,4297903.422,-659797832.7,44,42,3,3424348.713,381938.7044,2653565.202,4195132.224,8.96570228,2.630390273e-11,9.304374834
28,largest_component_area_km2,44,34682714.45,3764479.114,2711765.287,4667532.149,-719822322.4,39.41845998,37.41845998,3,3727891.351,441782.4981,2833092.764,4622689.938,8.438295693,3.461462777e-10,10.85404984
28,secondary_area_km2,44,2735923.52,-225600.7486,-383423.9459,-74900.15827,48105809.93,24.83404707,22.83404707,3,-303542.6373,69511.50442,-447395.99,-159689.2846,-4.36679712,0.0002288820208,-8.245871896
28,largest_component_area_fraction,44,0.923124296,0.01308798164,0.009151470378,0.01802574247,-1.706749233,34.73696005,32.73696005,3,0.0145795735,0.001923717281,0.01066454626,0.01849460075,7.578854568,1.069508444e-08,1.417791915
28,fragmentation_index,44,0.07687570404,-0.01308798164,-0.01802574247,-0.009151470387,2.706749233,34.73696005,32.73696005,3,-0.0145795735,0.001923717281,-0.01849460075,-0.01066454626,-7.578854568,1.069508444e-08,-17.02486085
28,component_count,44,40.60863701,-10.31528437,-11.46359048,-8.915525114,2112.450786,15.02470563,13.02470563,3,-10.29118596,0.7261302511,-11.85959257,-8.722779345,-14.17264457,2.708771705e-09,-25.40170055
28.5,total_area_km2,44,27932745.4,3725485.291,2899425.362,4397980.363,-718842209.1,39.27204934,37.27204934,3,3684965.055,373058.6273,2929262.665,4440667.445,9.877710326,5.920648454e-12,13.33734024
28.5,largest_component_area_km2,44,24823332.62,4089674.466,3399817.473,4801387.59,-795143413.7,40.48208446,38.48208446,3,4171859.919,322783.6051,3518687.391,4825032.447,12.92463388,1.409409204e-15,16.47512254
28.5,secondary_area_km2,44,3109412.778,-431638.645,-611568.6043,-266341.3563,89306487.34,44,42,3,-486894.8637,87948.8981,-664382.9257,-309406.8016,-5.536111017,1.840629079e-06,-13.88167721
28.5,largest_component_area_fraction,44,0.8797738198,0.03524982326,0.02712719552,0.04209225347,-6.164669124,14.17967425,12.17967425,3,0.03596062569,0.003636161895,0.02805105238,0.043870199,9.889720736,3.563560237e-07,4.006691546
28.5,fragmentation_index,44,0.1202261802,-0.03524982326,-0.04209225347,-0.02712719552,7.164669124,14.17967425,12.17967425,3,-0.03596062569,0.003636161895,-0.043870199,-0.02805105238,-9.889720736,3.563560238e-07,-29.31959012
28.5,component_count,44,49.81691573,-12.07742489,-13.19138943,-11.00782779,2474.465501,15.85546678,13.85546678,3,-12.2040541,0.8372180192,-14.00146706,-10.40664114,-14.57691285,8.529240716e-10,-24.24362229
29,total_area_km2,44,18441986.33,3648876.191,2928224.454,4311130.779,-713270190.8,29.80921072,27.80921072,3,3644423.333,343793.6022,2939976.333,4348870.333,10.60061418,2.833831499e-11,19.78570055
29,largest_component_area_km2,44,14885414.5,4461438.611,3890370.681,5047951.851,-879808831,31.42361338,29.42361338,3,4455215.296,288026.3189,3866503.499,5043927.092,15.468084,1.137653948e-15,29.97188026
29,secondary_area_km2,44,3556571.831,-725863.7937,-958606.5758,-532041.8895,148678324.7,44,42,3,-810791.9625,83290.57422,-978879.1463,-642704.7786,-9.734498412,2.489923662e-12,-20.40908572
29,largest_component_area_fraction,44,0.7710047685,0.09009547331,0.07496043397,0.1043465858,-17.23882183,44,42,3,0.09302228099,0.005184689133,0.08255915471,0.1034854073,17.94172777,2.633622333e-21,11.68546253
29,fragmentation_index,44,0.2289952315,-0.09009547331,-0.1043465858,-0.07496043397,18.23882183,44,42,3,-0.09302228099,0.005184689133,-0.1034854073,-0.08255915471,-17.94172777,2.633622333e-21,-39.3438207
29,component_count,44,60.46624696,-14.04794521,-15.95514572,-12.38508371,2881.448288,13.55275444,11.55275444,3,-14.3166006,1.224412291,-16.99586545,-11.63733576,-11.69263058,9.414484127e-08,-23.2327057
