year,definition,definition_description,n_days,mean_daily_area_km2,median_daily_area_km2,mean_daily_mean_sst_c,area_time_weighted_mean_sst_c
1982,canonical,Pacific-mask canonical SST >= 28C,365,34124424.4512,35351971.0564,28.9674586587,28.974961077
1982,lcc,Largest 8-neighbor component of Pacific-mask SST >= 28C,365,31288036.7196,31953900.9939,28.9922026224,29.0011996545
1982,yan_gt28,"Yan-style fixed box SST > 28C; 20S-20N, 120E-150W",365,23329347.1697,23222250.9862,29.0342388175,29.0421462992
1982,yan_ge28_sensitivity,Yan-style fixed box SST >= 28C sensitivity,365,23439523.2915,23348839.0164,29.0294364402,29.0372477509
1983,canonical,Pacific-mask canonical SST >= 28C,365,35215929.1412,34711749.3737,28.9436753166,28.944733643
1983,lcc,Largest 8-neighbor component of Pacific-mask SST >= 28C,365,32102887.4886,31199683.4008,28.9634888922,28.9646509723
1983,yan_gt28,"Yan-style fixed box SST > 28C; 20S-20N, 120E-150W",365,21454998.3108,21456280.0185,28.9509879949,28.9541618955
1983,yan_ge28_sensitivity,Yan-style fixed box SST >= 28C sensitivity,365,21567582.4962,21557054.4485,28.9460437671,28.9491811082
1984,canonical,Pacific-mask canonical SST >= 28C,366,30492432.6051,30458803.0593,28.9177703298,28.916625632
1984,lcc,Largest 8-neighbor component of Pacific-mask SST >= 28C,366,27009750.3577,26847557.1255,28.9594391781,28.9587638595
1984,yan_gt28,"Yan-style fixed box SST > 28C; 20S-20N, 120E-150W",366,21761800.1133,21620217.5461,28.9898248627,28.9910473315
1984,yan_ge28_sensitivity,Yan-style fixed box SST >= 28C sensitivity,366,21871570.2153,21730593.5904,28.9848454655,28.9860734149
1985,canonical,Pacific-mask canonical SST >= 28C,365,27547861.6818,27631670.2862,28.8180082924,28.8214671698
1985,lcc,Largest 8-neighbor component of Pacific-mask SST >= 28C,365,24481396.9321,24572348.1259,28.8438925533,28.8484721579
1985,yan_gt28,"Yan-style fixed box SST > 28C; 20S-20N, 120E-150W",365,20867609.7143,19928313.5787,28.8520039126,28.8596877041
