date,year,threshold_c,component_count_28c,canonical_area_km2,canonical_sst_area_integral_c_km2,canonical_mean_sst_c,canonical_centroid_lon_360,canonical_centroid_lat,lcc_area_km2,lcc_sst_area_integral_c_km2,lcc_mean_sst_c,lcc_centroid_lon_360,lcc_centroid_lat,yan_gt28_area_km2,yan_gt28_sst_area_integral_c_km2,yan_gt28_mean_sst_c,yan_gt28_centroid_lon_360,yan_gt28_centroid_lat,yan_ge28_sensitivity_area_km2,yan_ge28_sensitivity_sst_area_integral_c_km2,yan_ge28_sensitivity_mean_sst_c,yan_ge28_sensitivity_centroid_lon_360,yan_ge28_sensitivity_centroid_lat,lcc_minus_yan_gt28_area_km2,lcc_minus_yan_gt28_mean_sst_c,canonical_minus_yan_gt28_area_km2,lcc_yan_gt28_centroid_distance_km,lcc_yan_gt28_intersection_area_km2,lcc_yan_gt28_union_area_km2,lcc_yan_gt28_area_jaccard,lcc_area_outside_yan_box_km2,lcc_area_outside_yan_box_fraction,yan_gt28_area_outside_lcc_km2,yan_gt28_area_outside_lcc_fraction,canonical_area_outside_yan_box_km2,canonical_area_outside_yan_box_fraction,yan_operator_sensitivity_area_km2,yan_operator_sensitivity_mean_sst_c
1981-09-01,1981,28,83,32262368.9872,929268687.886,28.8034858276,160.98462313,10.1997368659,29835886.3032,860311665.322,28.8347950042,157.638855154,9.26283083202,22203271.2479,641064141.675,28.872508673,160.06027262,5.74882752566,22303801.8244,643878997.816,28.8685759892,,,7632615.05529,-0.0377136688189,10059097.7393,473.193782866,21854663.7933,30184493.7578,0.724036121617,7901281.40943,0.264824759323,348607.454564,0.0157007249369,9985480.92648,0.309508608325,100530.576479,-0.00393268378962
1981-09-02,1981,28,77,31474678.7867,906752120.868,28.8089396245,160.11907915,10.2967406889,26064029.2465,752466962.533,28.8699400778,151.495166847,8.95826615756,21728568.3959,627706003.238,28.8885117419,159.201535827,6.05564589237,21809978.3055,629985480.707,28.8851952021,,,4335460.85063,-0.0185716640589,9746110.39087,908.709537351,20008577.1178,27784020.5246,0.720146931223,6006159.71131,0.23043864993,1719991.27807,0.0791580580336,9696223.60619,0.30806425927,81409.9096089,-0.00331653977734
1981-09-03,1981,28,76,30672868.2654,882848868.763,28.7827294508,159.620636749,9.90011529964,25604790.6166,738630115.004,28.8473405647,151.893295718,8.7587831036,21644374.9699,624606882.606,28.8577001403,159.409487078,5.90503879772,21743557.2556,627383986.605,28.8537877786,,,3960415.64664,-0.0103595755914,9028493.29543,887.498169576,19893096.4966,27356069.0899,0.727191338462,5640748.28764,0.22030050439,1751278.47337,0.0809114828127,8958525.29622,0.292066761371,99182.2856608,-0.00391236168604
1981-09-04,1981,28,77,29396453.2621,846523891.906,28.7968036266,157.968755066,9.67427509767,25539163.0521,737100860.572,28.8615902983,151.968813373,8.81391382806,21364757.5779,616528424.977,28.8572628418,159.559996555,6.08819710609,21473051.6284,619560658.39,28.8529394476,,,4174405.47419,0.00432745656133,8031695.68414,890.073935732,19791520.053,27112400.577,0.729980364403,5681361.63222,0.222456844832,1573237.52489,0.0736370407739,7949528.15244,0.270424737351,108294.050478,-0.00432339413443
1981-09-05,1981,28,71,29368552.446,846433912.701,28.8210974735,157.523029748,9.55525140834,27255430.0788,786372247.303,28.8519478515,154.474656128,8.65878443857,21218803.6678,612594817.278,28.8703749217,159.094302124,6.00946116926,21340010.1891,615988599.876,28.8654313853,,,6036626.41103,-0.0184270702228,8149748.77826,588.474768324,20885775.6026,27588458.1439,0.757047584669,6256068.8805,0.229534770224,333028.065139,0.0156949501185,8056983.71519,0.274340512015,121206.521356,-0.00494353637141
1981-09-06,1981,28,72,29618155.8229,854937615.515,28.8653223592,157.905628782,9.81039529082,25102483.6697,726691647.18,28.948993922,149.981893247,8.86110025842,21091160.0743,610197491.684,28.9314333367,157.825743321,6.17701691299,21203267.527,613336500.358,28.9265085948,,,4011323.59535,0.0175605853075,8526995.74858,914.66655009,19359343.7214,26834300.0226,0.721440235263,5676785.10058,0.226144359868,1731816.35292,0.0821110051231,8443326.03855,0.285072645611,112107.452658,-0.00492474183805
1981-09-07,1981,28,80,30036297.3993,869441686.904,28.9463669688,157.496627999,10.352980449,27231195.8075,789538960.096,28.9939143942,152.836967892,9.38755602634,21128428.9604,613660000.27,29.0442796963,157.08278037,6.50727838394,21228868.8636,616472317.558,29.0393389078,,,6102766.84708,-0.0503653020672,8907868.43884,566.704560776,20506260.1216,27853364.6463,0.73622201059,6661701.04147,0.244634906545,622168.83882,0.0294469995845,8835866.27834,0.294172952175,100439.903126,-0.00494078851808
1981-09-08,1981,28,89,31317008.1707,908196563.596,29.0001062249,158.215877547,11.1347580394,27933307.9205,811521259.347,29.0521001543,153.629122862,10.0956280933,21607075.5699,628881083.397,29.1053308609,157.571646655,6.89359639091,21691947.9462,631257509.934,29.1010061199,,,6326232.3507,-0.0532307066466,9709932.60082,560.98977062,20912366.8036,28628016.6868,0.730486049115,6964764.08885,0.249335456748,694708.766281,0.0321519107959,9653497.96711,0.308250964284,84872.376336,-0.0043247410069
1981-09-09,1981,28,74,32840107.9814,951914438.749,28.9863370513,158.904160766,11.0556435955,29132702.0065,846116431.754,29.0435274959,153.90626113,9.97354889085,22376336.8768,650950177.78,29.0910072263,158.591351725,6.61956788199,22470371.3395,653583142.736,29.0864415573,,,6756365.1297,-0.0474797304223,10463771.1046,636.201541134,21524478.8639,29984560.0194,0.717852082872,7544238.09062,0.258961152623,851858.012881,0.0380695918895,10398923.7913,0.316653154648,94034.4627183,-0.00456566902239
1981-09-10,1981,28,78,34130735.3349,988480639.214,28.9615980879,160.294226078,11.0224862936,30521017.2946,885643335.744,29.0174907079,155.837541634,10.0664865473,23332746.8222,678751985.968,29.0901020416,160.140576389,6.62828051243,23429317.5488,681455966.315,29.08560887,,,7188270.47249,-0.0726113337108,10797988.5127,608.442967738,22584608.9794,31269155.1374,0.722264764756,7864168.75511,0.257664044392,748137.842728,0.0320638563659,10730604.9355,0.314397121251,96570.7266565,-0.00449317168852
